Threshold,Skin False Positives,Skin False Negatives,Skin Classifications,Non-Skin Classifications
-1,53478,88167,173263,2410289
-0.9,58646,72974,152902,2430650
-0.8,64501,62616,136689,2446863
-0.7,71349,51796,119021,2464531
-0.6,77988,42839,103425,2480127
-0.5,86148,36087,88513,2495039
-0.4,95551,27803,70826,2512726
-0.3,105293,21021,54302,2529250
-0.2,114512,14720,38782,2544770
-0.0999999,126461,7558,19671,2563881
