Threshold,Skin False Positives,Skin False Negatives,Skin Classifications,Non-Skin Classifications
-1,18167,265725,381007,2202545
-0.9,21129,226384,338704,2244848
-0.8,24870,192817,301396,2282156
-0.7,30111,161219,264557,2318995
-0.6,36682,132089,228856,2354696
-0.5,45172,107962,196239,2387313
-0.4,57429,84422,160442,2423110
-0.3,73672,62248,122025,2461527
-0.2,91620,41680,83509,2500043
-0.0999999,111905,20964,42508,2541044
