Threshold,Skin False Positives,Skin False Negatives,Skin Classifications,Non-Skin Classifications
-1,43226,95809,186032,2397520
-0.9,48078,82116,167487,2416065
-0.8,53566,71235,151118,2432434
-0.7,60129,60023,133343,2450209
-0.6,66836,51022,117635,2465917
-0.5,75139,42814,101124,2482428
-0.4,85104,33139,81484,2502068
-0.3,95673,24708,62484,2521068
-0.2,106224,17110,44335,2539217
-0.0999999,119639,8068,21878,2561674
